"brood_year","lwr","mid","upr","CU","model"
2002,2.3048307839219,4.21118869591105,8.38590982217317,"Large Lakes","spw"
2003,2.11735924219302,3.84188016928108,7.58785047279048,"Large Lakes","spw"
2004,2.11271565389824,3.80554681951385,7.45589048023927,"Large Lakes","spw"
2005,2.00569387261562,3.48672474451904,6.42743486562826,"Large Lakes","spw"
2006,1.92587543286299,3.26323485904167,5.90337816084532,"Large Lakes","spw"
2007,1.75457345847678,2.91958962587141,5.06760462379876,"Large Lakes","spw"
2008,1.70886201963101,2.80429031602377,4.75604538462918,"Large Lakes","spw"
2009,1.66832253084539,2.72088682650244,4.6842842547545,"Large Lakes","spw"
2010,1.77368505897266,2.84825097406532,4.77576285223892,"Large Lakes","spw"
2011,1.75920374688959,2.77328373010811,4.60452993237161,"Large Lakes","spw"
2012,1.7116151240916,2.6657871368541,4.3136404033374,"Large Lakes","spw"
2013,1.62365024621242,2.58773140016807,4.1887663476593,"Large Lakes","spw"
2014,1.64352608232805,2.6465051802488,4.42323394822591,"Large Lakes","spw"
2015,1.54199543902706,2.6008737343671,4.40914601451263,"Large Lakes","spw"
2016,1.46529357735717,2.60764155859309,4.70463704584243,"Large Lakes","spw"
2017,1.40933972628668,2.60893631644444,4.89650625025848,"Large Lakes","spw"
2018,1.36496368160577,2.59697428193358,5.07038260804224,"Large Lakes","spw"
2019,1.31246518429756,2.59363891967795,5.35154821480138,"Large Lakes","spw"
1992,2.7098031232412,4.73206695927621,8.12147290278008,"Lower Skeena","spw"
1993,2.8030048335962,4.81358770134305,8.18485007059128,"Lower Skeena","spw"
1994,2.74215514373356,4.71272006938748,8.07222363954137,"Lower Skeena","spw"
1995,2.95034647476877,4.96558871077767,8.27244695755008,"Lower Skeena","spw"
1996,3.0971501509952,5.24709337184948,8.66083085771826,"Lower Skeena","spw"
1997,3.09887055694291,5.24910484353938,8.68202726977378,"Lower Skeena","spw"
1998,3.13150544064844,5.401844772961,8.97976537425065,"Lower Skeena","spw"
1999,3.07661002796809,5.34772248480359,8.99181446940713,"Lower Skeena","spw"
2000,3.0906492004938,5.48711917934019,9.46423311524319,"Lower Skeena","spw"
2001,3.0335482924878,5.50147421617391,9.65467643269234,"Lower Skeena","spw"
2002,2.99199241558992,5.47746068054694,9.6919791159775,"Lower Skeena","spw"
2003,2.7620545444905,5.12688203997454,9.20795355402134,"Lower Skeena","spw"
2004,2.70660093327074,5.06848118891932,9.08413848442524,"Lower Skeena","spw"
2005,2.53781540827017,4.78928230191216,8.66022001782213,"Lower Skeena","spw"
2006,2.42683481604558,4.62684328166565,8.46734247367307,"Lower Skeena","spw"
2007,2.30700617006325,4.46874415628289,8.28858638743698,"Lower Skeena","spw"
2008,2.23611753427703,4.33096035439949,8.08193871233285,"Lower Skeena","spw"
2009,2.36246410530027,4.43820537278687,8.00174761495274,"Lower Skeena","spw"
2010,2.47193428318761,4.50594978876718,7.94580124877524,"Lower Skeena","spw"
2011,2.45784407640907,4.39094770785428,7.69883353108687,"Lower Skeena","spw"
2012,2.37603663833477,4.24857549237838,7.48100803704154,"Lower Skeena","spw"
2013,2.57584257799921,4.51583716758874,7.79014869041818,"Lower Skeena","spw"
2014,2.65531972199663,4.73292415842797,8.29858744836367,"Lower Skeena","spw"
2015,2.67212717981118,4.78911176730661,8.6425748883825,"Lower Skeena","spw"
2016,2.60981652789766,4.79602234949132,8.88635946933934,"Lower Skeena","spw"
2017,2.54300531152261,4.78844848816932,9.03711880478981,"Lower Skeena","spw"
2018,2.48163937429802,4.80909426092331,9.25287672182874,"Lower Skeena","spw"
2019,2.46233488410657,4.82909428821522,9.4657602696972,"Lower Skeena","spw"
